Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Eric Patterson,San Diego Padres,Second Baseman,No,National,National West,No,No,No,423300
Erick Almonte,Milwaukee Brewers,Infielder,No,National,National Central,No,Yes,No,414000
Erick Aybar,Los Angeles Angels,Shortstop,No,American,American West,No,No,No,3000000
Erik Bedard,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,1000000
Ernesto Frieri,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,417100
Ervin Santana,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,8000000
Esmil Rogers,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,417000
Evan Longoria,Tampa Bay Rays,Third Baseman,No,American,American East,No,Yes,No,2000000
Evan Meek,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,461500
Fausto Carmona,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,6287500
Felipe Paulino,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,790000
Felix Doubront,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,417000
Felix Hernandez,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,11700000
Felix Pie,Baltimore Orioles,Outfielder,No,American,American East,No,No,No,985000
Fernando Abad,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,418000
Fernando Rodney,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,5500000
Francisco Cervelli,New York Yankees,Catcher,No,American,American East,Yes,Yes,No,455700
Francisco Cordero,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,12125000
Francisco Liriano,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,4300000
Francisco Rodriguez,New York Mets,Pitcher,Yes,National,National East,No,No,No,12166666
Frank Francisco,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,4000000
Frank Herrmann,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,419800
Franklin Gutierrez,Seattle Mariners,Outfielder,No,American,American West,No,No,No,4312500
Franklin Morales,Colorado Rockies,Pitcher,Yes,National,National West,No,No,No,424000
Fred Lewis,Cincinnati Reds,Outfielder,No,National,National Central,No,No,No,900000
Freddie Freeman,Atlanta Braves,First Baseman,No,National,National East,No,No,No,414000
Freddy Garcia,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,1500000
Freddy Sanchez,San Francisco Giants,Second Baseman,No,National,National West,No,No,No,6000000
Freddy Sandoval,Los Angeles Angels,Third Baseman,No,American,American West,No,No,No,414000
Gaby Sanchez,Miami Marlins,First Baseman,No,National,National East,No,No,No,431000
Garrett Jones,Pittsburgh Pirates,Outfielder,No,National,National Central,No,No,No,455500
Garrett Olson,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,430000
Gavin Floyd,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,5000000
Geoff Blum,Arizona Diamondbacks,Second Baseman,No,National,National West,No,Yes,No,1350000
George Kottaras,Milwaukee Brewers,Catcher,No,National,National Central,No,Yes,No,440000
George Sherrill,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,1200000
Geovany Soto,Chicago Cubs,Catcher,No,National,National Central,No,No,No,3000000
Gerald Laird,St. Louis Cardinals,Catcher,No,National,National Central,No,Yes,Yes,1000000
Gerardo Parra,Arizona Diamondbacks,Outfielder,No,National,National West,No,Yes,No,426000
Giovany Gonzalez,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,420000
Glen Perkins,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,700000
Gordon Beckham,Chicago White Sox,Second Baseman,No,American,American Central,No,No,No,485000
